Ordine,Cliente,Data,Sales Order,Autista,Prodotto,Qty,UOM,Da (Furgone),A (Buffer)
"WH/OUT/34443","Amare Food Truck, Amare Food CONSEGNA","2025-11-07 18:53:10","S34420","Domingos","SALATINI 8 GUSTI 12G 4KG CRT SG",1,"CRT","Furgone/Domingos","Buffer/Pingu"
"WH/OUT/34464","Grandin Trattoria Pizzeria, Grandin Trattoria Pizzeria - Tennis Club (CONSEGNA)","2025-11-07 09:00:00","S34194","Stefan","GUANCIALE DI SUINO AL PEPE SV INTERO PZ CA 1.5KG SORR",1,"kg","Furgone/Stefan","Buffer/Frigo"
"WH/OUT/34464","Grandin Trattoria Pizzeria, Grandin Trattoria Pizzeria - Tennis Club (CONSEGNA)","2025-11-07 09:00:00","S34194","Stefan","NUTELLA 1000G 6PZ CRT M",1,"PZ","Furgone/Stefan","Buffer/Sopra"
"WH/OUT/34292","DGD Gastro GmbH, KEK Restaurant Küsnacht C/o DGD GastroGmbH (Consegna)","2025-11-04 18:00:00","S34309","Liviu","LAVAVETRI SENZA MANICO (TIRA ACQUA) 1 PZ AL",1,"PZ","Furgone/Liviu","Buffer/Sopra"
"WH/OUT/34297","Caterina Gastro Group AG, Caterina (CONSEGNA)","2025-11-04 16:00:00","S34293","Liviu","GRAN CULATTA PULITO FIORE S.V. CULATTAPZ 4KG MV",1,"kg","Furgone/Liviu","Buffer/Frigo"
"WH/OUT/34297","Caterina Gastro Group AG, Caterina (CONSEGNA)","2025-11-04 16:00:00","S34293","Liviu","GRANA PADANO DOP SCAGLIE FRESCHE 1KG 10KG CRT LSM",1,"kg","Furgone/Liviu","Buffer/Frigo"
"WH/OUT/34247","Emme Food GmbH, Emme l'Italia che ami","2025-11-03 19:00:00","S34247","Liviu","FIORDILATTE JULIENNE TAGLIO NAPOLI VASC DA 2.5KG KG10 4PZ CRT TAMB",10,"kg","Furgone/Liviu","Buffer/Frigo"
"WH/OUT/34249","TERZOANGOLO GMBH, CON GUSTO PIZZERIA (CONSEGNA)","2025-11-03 09:00:00","S34261","Liviu","FIORDILATTE JULIENNE TAGLIO NAPOLI VASC DA 2.5KG KG10 4PZ CRT TAMB",4,"kg","Furgone/Liviu","Buffer/Frigo"
"WH/OUT/34249","TERZOANGOLO GMBH, CON GUSTO PIZZERIA (CONSEGNA)","2025-11-03 09:00:00","S34261","Liviu","SCHALE KRAFT CIOTOLA/PE 1000ML MARRONE 173X120X75MM  300PZ A CRT PACO*",1,"CRTc","Furgone/Liviu","Buffer/Sopra"
"WH/OUT/34249","TERZOANGOLO GMBH, CON GUSTO PIZZERIA (CONSEGNA)","2025-11-03 09:00:00","S34261","Liviu","DECKEL KRAFT COPERCHIO PER CIOTOLA PLA MARRONE 300PZ A CRT PACO",1,"CRTc","Furgone/Liviu","Buffer/Sopra"
"WH/OUT/34227","aMA PASTICCERIA AG, aMA Pasticceria AG (CONSEGNA)","2025-11-03 08:00:00","S34259","Alexandru","SCATOLA PORTA TORTA 27X27X7H VERNICIATA BIANCA 50 PZ CRT CAR",50,"PZ","Furgone/Alexandru","Buffer/Sopra"
"WH/OUT/34227","aMA PASTICCERIA AG, aMA Pasticceria AG (CONSEGNA)","2025-11-03 08:00:00","S34259","Alexandru","VASSOIO CLASS ORO 3EUR/4 ITA 18X26 10 KG CRT CAR",10,"kg","Furgone/Alexandru","Buffer/Sopra"
"WH/OUT/34227","aMA PASTICCERIA AG, aMA Pasticceria AG (CONSEGNA)","2025-11-03 08:00:00","S34259","Alexandru","RUSTICO LECCESE PICCOLO 165G PZ 35PZ CRT CAT",2,"CRT","Furgone/Alexandru","Buffer/Sopra"
"WH/OUT/34199","Sasà Gastro GmbH, PEPPINO BADEN (consegna)","2025-11-01 21:00:00","S34227","Stefan","GRANA PADANO DOP SCAGLIE FRESCHE 1KG 10KG CRT LSM",2,"kg","Furgone/Stefan","Buffer/Frigo"
"WH/OUT/34196","Etna Bar KLG, Etna Pasticceria - Tavola calda (Consegna)","2025-11-01 21:00:00","S34200","Alexandru","ARANCIO A FILETTI CANDITA 6X6 KG 5 MIO",5,"kg","Furgone/Alexandru","Buffer/Sopra"
"WH/OUT/34145","Caterina Gastro Group AG, Caterina (CONSEGNA)","2025-10-31 20:00:00","S34175","Stefan","GRANA PADANO DOP SCAGLIE FRESCHE 1KG 10KG CRT LSM",1,"kg","Furgone/Stefan","Buffer/Frigo"
"WH/OUT/34145","Caterina Gastro Group AG, Caterina (CONSEGNA)","2025-10-31 20:00:00","S34175","Stefan","FARINA 00 VERACE SACCO CONF 25KG MEY",1,"PZ","Furgone/Stefan","Buffer/Sopra"
"WH/OUT/34145","Caterina Gastro Group AG, Caterina (CONSEGNA)","2025-10-31 20:00:00","S34175","Stefan","FINOCCHIONA IGP A META SV CA 1.5KG BG",1,"kg","Furgone/Stefan","Buffer/Frigo"
"WH/OUT/34145","Caterina Gastro Group AG, Caterina (CONSEGNA)","2025-10-31 20:00:00","S34175","Stefan","CANDEGGINA PROFUMATA 2LT 8PZ CRT MUS",1,"PZ","Furgone/Stefan","Buffer/Sopra"